initiative,instrument,jurisdiction,region,income_group,start_year,year,carbon_price
China national ETS,ETS,China,East Asia & Pacific,Upper middle income,2021,2022,9.199849028118514
Chongqing pilot ETS,ETS,Chongqing,East Asia & Pacific,Upper middle income,2014,2022,5.661445555765239
Colombia carbon tax,Carbon tax,Colombia,Latin America & Caribbean,Upper middle income,2017,2022,5.013271991970245
Denmark carbon tax,Carbon tax,Denmark,Europe & Central Asia,High income,1992,2022,26.62427384967388
Estonia carbon tax,Carbon tax,Estonia,Europe & Central Asia,High income,2000,2022,2.2104
EU ETS,ETS,EU,Europe & Central Asia,High income,2005,2022,86.526108
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,2022,85.1004
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,2022,58.575599999999994
France carbon tax,Carbon tax,France,Europe & Central Asia,High income,2014,2022,49.29192
Fujian pilot ETS,ETS,Fujian,East Asia & Pacific,Upper middle income,2016,2022,1.8258161917342894
Germany ETS,ETS,Germany,Europe & Central Asia,High income,2021,2022,33.156
Guangdong pilot ETS,ETS,Guangdong (except Shenzhen),East Asia & Pacific,Upper middle income,2013,2022,12.510222054475687
Hubei pilot ETS,ETS,Hubei,East Asia & Pacific,Upper middle income,2014,2022,7.240359816317545
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2022,35.61275839012421
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2022,38.008972221667264
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2022,35.041732447879234
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2022,36.838663159084305
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2022,3.413733586768915
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2022,19.458281444582816
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2022,19.110812133072407
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2022,6.3797644080599385
Ireland carbon tax,Carbon tax,Ireland,Europe & Central Asia,High income,2010,2022,45.313199999999995
Japan carbon tax,Carbon tax,Japan,East Asia & Pacific,High income,2012,2022,2.364975450081833
Kazakhstan ETS,ETS,Kazakhstan,Europe & Central Asia,Upper middle income,2013,2022,1.0808260599172224
Korea ETS,ETS,"Korea, Rep.",East Asia & Pacific,High income,2015,2022,18.749483769719998
Latvia carbon tax,Carbon tax,Latvia,Europe & Central Asia,High income,2004,2022,16.578
Liechtenstein carbon tax,Carbon tax,Liechtenstein,Europe & Central Asia,High income,2008,2022,129.85607618223136
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,2021,2022,43.345943999999996
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,2021,2022,40.17402
Massachusetts ETS,ETS,Massachusetts,North America,High income,2018,2022,0.5
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2022,3.196554986021443
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2022,3.1645894361612283
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2022,3.440949676597706
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2022,3.3256156612104464
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2022,3.356754068588977
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2022,2.609357410792663
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2022,3.3816753152766146
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2022,0.34794922368886866
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2022,0.968905879782711
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2022,0.7974268267312953
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2022,2.813442388324464
Mexico pilot ETS,ETS,Mexico,Latin America & Caribbean,Upper middle income,2020,2022,0.0
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,2021,2022,46.1421
New Brunswick carbon tax,Carbon tax,New Brunswick,North America,High income,2020,2022,39.9616368286445
New Brunswick OBPS,ETS,New Brunswick,North America,High income,2021,2022,39.9616368286445
New Zealand ETS,ETS,New Zealand,East Asia & Pacific,High income,2008,2022,52.622400000000006
Newfoundland and Labrador carbon tax,Carbon tax,Newfoundland and Labrador,North America,High income,2019,2022,39.9616368286445
Newfoundland and Labrador PSS,ETS,Newfoundland and Labrador,North America,High income,2019,2022,39.9616368286445
Northwest Territories carbon tax,Carbon tax,Northwest Territories,North America,High income,2019,2022,31.9693094629156
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2022,96.30561592130847
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2022,9.607686148919134
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2022,24.1335925883564
